Year,quarter,city1,city2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
1993,4,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",LGB,SFO,372,193,75.78,AS,0.96,75.67,AS,0.96,75.67,"34.052238, -118.243344","37.78008, -122.420168"
1993,3,"Asheville, NC","New York City, NY (Metropolitan Area)",AVL,ISP,633,5,156.19,AA,0.93,157.22,US,0.04,155.45,"35.595889, -82.550039","40.123164, -75.333718"
1996,1,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",SNA,BNA,1797,36,370.56,AA,0.64,390.86,CO,0.05,234.12,"34.052238, -118.243344","36.166687, -86.779932"
1996,1,"Boston, MA (Metropolitan Area)","Myrtle Beach, SC",MHT,MYR,757,5,114.47,US,0.97,115.63,US,0.97,115.63,"42.358894, -71.056742","33.68785, -78.883852"
1996,3,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,678,173,123.19,US,0.81,120.39,US,0.81,120.39,"32.77647, -79.931027","40.123164, -75.333718"
1996,4,"Chicago, IL","Rochester, NY",MDW,ROC,528,2,225.46,NW,0.6,251.33,NW,0.6,251.33,"41.775002, -87.696388","43.155708, -77.612547"
1996,4,"Boston, MA (Metropolitan Area)","Columbus, OH",PVD,CMH,640,34,205.71,US,0.67,213.06,NW,0.12,191.95,"42.358894, -71.056742","39.962649, -82.996216"
1996,4,"Boston, MA (Metropolitan Area)","Denver, CO",BOS,DEN,1754,637,291.27,UA,0.66,321.36,US,0.1,149.53,"42.358894, -71.056742","39.738453, -104.984853"
1996,2,"San Francisco, CA (Metropolitan Area)","Tulsa, OK",OAK,TUL,1465,38,179.83,WN,0.28,135.0,WN,0.28,135.0,"37.78008, -122.420168","61.096484, -160.967455"
1993,2,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",TPA,WAS,842,8,201.34,DL,0.61,179.89,DL,0.61,179.89,"37.8606, -78.804199","38.892062, -77.019912"
1993,4,"New York City, NY (Metropolitan Area)","Phoenix, AZ",EWR,PHX,2189,707,233.86,HP,0.39,259.34,CO,0.33,202.66,"40.123164, -75.333718","30.406931, -87.217578"
1993,4,"Chicago, IL","New York City, NY (Metropolitan Area)",ORD,ISP,773,135,228.28,AA,0.89,223.09,CO,0.01,172.92,"41.775002, -87.696388","40.123164, -75.333718"
1996,3,"Miami, FL (Metropolitan Area)","Philadelphia, PA",MIA,PHL,1013,381,154.78,AA,0.51,152.34,AA,0.51,152.34,"44.977479, -93.264346","39.951061, -75.16562"
1993,4,"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",CLE,LGB,2073,3,282.14,AA,0.9,286.97,AA,0.9,286.97,"41.505546, -81.6915","34.052238, -118.243344"
1993,3,"Las Vegas, NV","Tampa, FL (Metropolitan Area)",LAS,TPA,1984,238,175.0,HP,0.49,146.11,HP,0.49,146.11,"36.169202, -115.140597","37.8606, -78.804199"
1996,2,"Miami, FL (Metropolitan Area)","Tallahassee, FL",FLL,TLH,403,11,158.04,DL,0.38,223.25,YV,0.32,117.32,"44.977479, -93.264346","38.921902, -120.020798"
1993,4,"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",RDU,SJC,2400,68,470.25,AA,0.73,483.12,TW,0.04,350.7,"42.673348, -72.179683","37.78008, -122.420168"
1993,1,"Tucson, AZ","Washington, DC (Metropolitan Area)",TUS,WAS,1976,5,355.95,DL,0.51,316.16,DL,0.51,316.16,"35.167852, -103.726151","38.892062, -77.019912"
1996,4,"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",MHT,OAK,2704,5,420.65,UA,0.84,402.32,CO,0.02,297.9,"42.358894, -71.056742","37.78008, -122.420168"
1993,3,"Los Angeles, CA (Metropolitan Area)","Omaha, NE",ONT,OMA,1330,57,188.33,HP,0.29,179.91,DL,0.13,157.28,"34.052238, -118.243344","46.07035, -93.666319"
1993,4,"Chicago, IL","Houston, TX",ORD,IAH,945,738,235.39,CO,0.45,225.06,UA,0.2,215.52,"41.775002, -87.696388","29.760803, -95.369506"
1996,1,"Norfolk, VA (Metropolitan Area)","Orlando, FL",ORF,MCO,662,238,141.2,FL,0.55,149.29,US,0.28,119.66,"36.846164, -76.285913","28.538331, -81.378879"
1993,4,"Boston, MA (Metropolitan Area)","Chicago, IL",PVD,CHI,867,0,186.47,CO,0.5,241.0,DL,0.5,131.95,"42.358894, -71.056742","41.775002, -87.696388"
1993,3,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",FLL,NYC,1139,107,132.79,DL,0.93,129.61,DL,0.93,129.61,"44.977479, -93.264346","40.123164, -75.333718"
1996,1,"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",RDU,OAK,2400,17,448.52,AA,0.57,408.86,AA,0.57,408.86,"42.673348, -72.179683","37.78008, -122.420168"
1993,1,"New York City, NY (Metropolitan Area)","Steamboat Springs, CO",ISP,SBS,1782,0,163.25,CO,1.0,163.25,CO,1.0,163.25,"40.123164, -75.333718","41.051924, -73.539475"
1993,3,"Birmingham, AL","Miami, FL (Metropolitan Area)",BHM,FLL,661,51,191.49,DL,0.87,190.48,AA,0.08,175.97,"33.522859, -86.807705","44.977479, -93.264346"
1993,3,"Dallas/Fort Worth, TX","Houston, TX",DAL,IAH,252,372,70.5,WN,1.0,70.5,WN,1.0,70.5,"40.11086, -77.035636","29.760803, -95.369506"
1996,2,"Los Angeles, CA (Metropolitan Area)","Richmond, VA",LAX,RIC,2305,95,333.65,US,0.28,364.71,NW,0.12,208.26,"34.052238, -118.243344","37.540759, -77.433932"
1996,4,"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",EWR,SRQ,1085,288,135.68,CO,0.78,130.43,CO,0.78,130.43,"40.123164, -75.333718","27.336483, -82.538602"
1993,2,"Detroit, MI","San Francisco, CA (Metropolitan Area)",DET,OAK,2095,11,186.76,WN,1.0,186.76,WN,1.0,186.76,"42.332916, -83.047853","37.78008, -122.420168"
1993,4,"Little Rock, AR","New York City, NY (Metropolitan Area)",LIT,SWF,1125,3,281.51,DL,0.81,275.79,DL,0.81,275.79,"34.748745, -92.275105","40.123164, -75.333718"
1993,4,"Colorado Springs, CO","New York City, NY (Metropolitan Area)",COS,ISP,1678,1,183.95,AA,0.5,172.36,UA,0.16,149.05,"38.835224, -104.819798","40.123164, -75.333718"
1996,2,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",DFW,SJC,1464,503,330.14,AA,0.81,338.14,HP,0.01,213.21,"40.11086, -77.035636","37.78008, -122.420168"
1994,1,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",BDL,SNA,2527,63,400.67,AA,0.46,391.93,AA,0.46,391.93,"41.765775, -72.673356","34.052238, -118.243344"
1993,1,"Houston, TX","Orlando, FL",HOU,MCO,853,57,236.9,DL,0.5,259.37,NW,0.15,199.49,"29.760803, -95.369506","28.538331, -81.378879"
1996,2,"Denver, CO","Washington, DC (Metropolitan Area)",DEN,WAS,1491,1,527.55,UA,1.0,527.55,UA,1.0,527.55,"39.738453, -104.984853","38.892062, -77.019912"
1994,1,"Jacksonville, FL","New York City, NY (Metropolitan Area)",JAX,SWF,870,15,185.16,AA,0.64,164.99,AA,0.64,164.99,"30.325968, -81.65676","40.123164, -75.333718"
1993,4,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",MYR,EWR,601,47,178.61,US,0.74,171.84,US,0.74,171.84,"33.68785, -78.883852","40.123164, -75.333718"
1996,2,"Fort Myers, FL","Minneapolis/St. Paul, MN",RSW,MSP,1416,151,204.77,NW,0.65,209.62,TW,0.08,160.64,"40.253979, -103.801495","44.977479, -93.264346"
1996,4,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",IND,PIE,840,250,83.49,TZ,0.99,83.44,TZ,0.99,83.44,"39.76845, -86.156212","37.8606, -78.804199"
1996,4,"New York City, NY (Metropolitan Area)","Savannah, GA",EWR,SAV,757,102,154.33,US,0.5,157.12,DL,0.42,149.92,"40.123164, -75.333718","40.115007, -111.654713"
1996,2,"Dallas/Fort Worth, TX","El Paso, TX",DFW,ELP,562,378,92.48,AA,0.85,91.34,AA,0.85,91.34,"40.11086, -77.035636","31.76006, -106.492257"
1993,2,"Madison, WI","New York City, NY (Metropolitan Area)",MSN,NYC,850,5,161.9,YX,0.84,163.43,TW,0.15,153.58,"43.073926, -89.385244","40.123164, -75.333718"
1993,4,"Chicago, IL","Saginaw/Bay City/Midland, MI",MDW,MBS,222,3,137.74,NW,0.89,143.73,NW,0.89,143.73,"41.775002, -87.696388","40.415483, -120.648932"
1996,4,"Albany, NY","Washington, DC (Metropolitan Area)",ALB,DCA,325,175,193.68,US,0.92,196.81,AA,0.01,112.93,"42.651242, -73.755418","38.892062, -77.019912"
1994,1,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",DFW,JFK,1428,100,268.79,TW,0.42,207.51,TW,0.42,207.51,"40.11086, -77.035636","40.123164, -75.333718"
1993,4,"Fort Myers, FL","Washington, DC (Metropolitan Area)",RSW,DCA,919,156,172.44,US,0.58,170.24,US,0.58,170.24,"40.253979, -103.801495","38.892062, -77.019912"
1993,4,"Los Angeles, CA (Metropolitan Area)","Rochester, NY",ONT,ROC,2272,16,248.74,AA,0.4,278.9,UA,0.39,234.2,"34.052238, -118.243344","43.155708, -77.612547"
1993,2,"Grand Rapids, MI","Los Angeles, CA (Metropolitan Area)",GRR,LGB,1874,1,198.17,AA,0.75,159.76,AA,0.75,159.76,"47.925705, -97.036068","34.052238, -118.243344"
1996,1,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",CLE,PHL,363,326,235.38,CO,0.6,225.03,CO,0.6,225.03,"41.505546, -81.6915","39.951061, -75.16562"
1994,1,"Cleveland, OH (Metropolitan Area)","Houston, TX",CLE,EFD,1107,2,280.88,CO,0.94,285.76,CO,0.94,285.76,"41.505546, -81.6915","29.760803, -95.369506"
1996,1,"Corpus Christi, TX","Houston, TX",CRP,HOU,201,246,79.99,WN,0.99,80.02,WN,0.99,80.02,"27.796416, -97.404131","29.760803, -95.369506"
1996,2,"Houston, TX","Los Angeles, CA (Metropolitan Area)",HOU,SNA,1397,16,257.1,AA,0.64,309.32,DL,0.08,115.1,"29.760803, -95.369506","34.052238, -118.243344"
1994,1,"Madison, WI","New York City, NY (Metropolitan Area)",MSN,LGA,850,62,216.63,NW,0.26,205.43,AA,0.23,200.45,"43.073926, -89.385244","40.123164, -75.333718"
1996,2,"Amarillo, TX","Houston, TX",AMA,IAH,538,62,106.94,WN,0.72,101.5,WN,0.72,101.5,"35.207009, -101.832013","29.760803, -95.369506"
1993,2,"Albany, NY","Los Angeles, CA (Metropolitan Area)",ALB,LGB,2467,0,162.75,AA,1.0,162.75,AA,1.0,162.75,"42.651242, -73.755418","34.052238, -118.243344"
1996,2,"Fort Myers, FL","New York City, NY (Metropolitan Area)",RSW,LGA,1120,406,137.74,US,0.6,139.65,DL,0.24,131.87,"40.253979, -103.801495","40.123164, -75.333718"
1996,3,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",ONT,IAD,2329,33,329.01,UA,0.32,315.6,UA,0.32,315.6,"34.052238, -118.243344","38.892062, -77.019912"
